證券名稱	簡稱	年月	市場風險溢酬	規模溢酬	淨值市價比溢酬	動能因子	無風險利率
Y9999  	上市         	201204	  -5.6326	  -0.9463	  -0.3127	   5.5964	 1.355
Y9999  	上市         	201205	  -2.7956	   0.4045	  -0.6113	   0.7124	 1.355
Y9999  	上市         	201206	  -0.0876	   0.0985	  -0.5324	   0.2788	 1.355
Y9999  	上市         	201207	   1.9869	  -0.6389	  -4.4601	   6.0819	 1.355
Y9999  	上市         	201208	   2.6484	   3.1864	   0.1143	   2.4730	 1.355
Y9999  	上市         	201209	   4.2214	   0.5129	   2.7815	  -2.4825	 1.355
Y9999  	上市         	201210	  -7.2415	  -3.0405	  -2.8488	   6.4429	 1.355
Y9999  	上市         	201211	   5.6227	  -1.8452	   1.0230	  -2.1162	 1.355
Y9999  	上市         	201212	   1.6427	   1.7986	   2.6845	  -4.2787	 1.355
Y9999  	上市         	201301	   1.8960	  -0.7023	   0.6026	  -0.7559	 1.355
Y9999  	上市         	201302	   0.5708	  -0.1625	   1.9475	   2.5727	 1.355
Y9999  	上市         	201303	   0.3192	   0.6942	   1.1914	   0.4180	 1.355
Y9999  	上市         	201304	   2.4579	  -1.5554	   0.7263	   2.5262	 1.355
Y9999  	上市         	201305	   1.8707	   2.5499	   4.5517	  -0.5026	 1.355
Y9999  	上市         	201306	  -2.2308	  -0.7093	  -3.4540	   2.3989	 1.355
Y9999  	上市         	201307	   1.9645	   1.6130	  -0.6880	   2.2401	 1.355
Y9999  	上市         	201308	  -0.3960	   1.4540	   0.3552	   0.7230	 1.355
Y9999  	上市         	201309	   2.0913	   0.4828	   1.7388	  -0.3388	 1.355
Y9999  	上市         	201310	   3.2665	   0.6249	  -1.1272	   2.6128	 1.355
Y9999  	上市         	201311	  -0.5570	   0.4855	   0.2011	   4.0237	 1.355
Y9999  	上市         	201312	   2.3673	   2.5540	   0.2169	  -0.2634	 1.355
